customer_id,month,revenue,retained,sla_met,risk_level,tickets_open,tickets_resolved,retention_flag,sla_flag,ticket_resolution_rate
101,Jan,1200,Yes,Yes,Low,5,5,1,1,1.0
102,Jan,800,No,No,High,6,2,0,0,0.33
103,Jan,950,Yes,Yes,Low,3,3,1,1,1.0
104,Jan,1100,Yes,Yes,Medium,4,3,1,1,0.75
105,Jan,600,No,No,High,7,2,0,0,0.29
106,Jan,1500,Yes,Yes,Low,2,2,1,1,1.0
107,Feb,1050,Yes,Yes,Low,4,4,1,1,1.0
108,Feb,750,No,No,High,8,3,0,0,0.38
109,Feb,980,Yes,Yes,Medium,3,3,1,1,1.0
110,Feb,1300,Yes,Yes,Low,2,2,1,1,1.0
111,Feb,620,No,No,High,6,1,0,0,0.17
112,Feb,1150,Yes,Yes,Low,3,3,1,1,1.0
113,Mar,1400,Yes,Yes,Low,2,2,1,1,1.0
114,Mar,700,No,No,High,9,4,0,0,0.44
115,Mar,1000,Yes,Yes,Medium,5,4,1,1,0.8
116,Mar,1250,Yes,Yes,Low,3,3,1,1,1.0
117,Mar,580,No,No,High,7,2,0,0,0.29
118,Mar,1600,Yes,Yes,Low,1,1,1,1,1.0
119,Apr,1350,Yes,Yes,Low,3,3,1,1,1.0
120,Apr,680,No,No,High,6,2,0,0,0.33
121,Apr,1100,Yes,Yes,Medium,4,3,1,1,0.75
122,Apr,1450,Yes,Yes,Low,2,2,1,1,1.0
123,Apr,900,Yes,Yes,Medium,5,4,1,1,0.8
124,Apr,550,No,No,High,8,3,0,0,0.38
125,May,1500,Yes,Yes,Low,2,2,1,1,1.0
126,May,720,No,No,High,7,2,0,0,0.29
127,May,1200,Yes,Yes,Low,3,3,1,1,1.0
128,May,1350,Yes,Yes,Low,2,2,1,1,1.0
129,May,950,Yes,Yes,Medium,4,3,1,1,0.75
130,May,620,No,No,High,6,1,0,0,0.17
131,Jun,1600,Yes,Yes,Low,1,1,1,1,1.0
132,Jun,800,No,No,High,5,2,0,0,0.4
133,Jun,1300,Yes,Yes,Low,3,3,1,1,1.0
134,Jun,1450,Yes,Yes,Low,2,2,1,1,1.0
135,Jun,1050,Yes,Yes,Medium,4,3,1,1,0.75
136,Jun,700,No,Yes,Medium,5,4,0,1,0.8
